,YEAR,MONTH,DAY,DOY,OMI_Ave
188,2014,08,12,224,293.83864190885015
189,2014,02,09,40,298.3395611004596
190,2014,12,07,341,291.32126122687924
191,2014,01,13,13,292.82361553969884
192,2014,12,16,350,304.9707802864083
193,2014,01,10,10,292.41913646003457
194,2014,04,20,110,323.10381049707826
195,2014,08,19,231,292.1751058926532
196,2014,06,08,159,308.65213862690143
197,2014,03,26,85,311.180607619898
198,2014,10,11,284,286.08693621019586
199,2014,12,21,355,295.2254008879801
200,2014,11,28,332,298.8703152427982
201,2014,03,19,78,314.14415604298654
202,2014,03,28,87,317.73999439936
203,2014,05,09,129,316.9049719637487
204,2014,12,25,359,294.8759182989278
205,2014,12,29,363,294.4450366433401
206,2014,09,16,259,284.3921595707907
207,2014,07,18,199,298.90778333944473
208,2014,08,30,242,290.18127110957334
209,2014,12,22,356,294.675894070474
210,2014,08,13,225,293.14563174576483
211,2014,09,21,264,279.68812121864
212,2014,07,24,205,297.23839857301175
213,2014,02,25,56,300.26231630113017
214,2014,07,22,203,297.1024869718528
215,2014,11,15,319,289.15322146880237
216,2014,12,20,354,296.19524240311966
217,2014,06,21,172,303.2103377177382
218,2014,12,11,345,293.6935868092417
219,2014,02,01,32,296.70527049315285
220,2014,07,29,210,296.5378647860544
221,2014,06,01,152,309.0978839226547
222,2014,09,10,253,293.5138960036949
223,2014,04,07,97,320.4893624245253
224,2014,10,04,277,278.85822237930415
225,2014,09,23,266,278.7559039762073
226,2014,05,10,130,316.93961440769044
227,2014,11,23,327,296.1931568665047
228,2014,04,15,105,322.1530738919796
229,2014,01,25,25,293.9156894327473
230,2014,01,02,2,291.51131943562996
231,2014,09,14,257,285.1288148644982
232,2014,09,13,256,285.85888126002845
233,2014,01,21,21,291.4266902608278
234,2014,06,04,155,309.0400831037279
235,2014,04,08,98,319.5169470478273
236,2014,05,21,141,314.94500268025587
237,2014,11,05,309,288.45298338899454
238,2014,01,03,3,291.03415982395916
239,2014,12,28,362,294.4679777578954
240,2014,05,08,128,317.1539208988026
241,2014,09,18,261,284.02740630399387
242,2014,06,22,173,302.8412668403592
243,2014,08,06,218,296.0322751407089
244,2014,05,28,148,310.78609489215467
245,2014,07,17,198,298.40914863233695
246,2014,11,09,313,286.4621147599351
247,2014,04,22,112,321.9780725525553
248,2014,02,03,34,297.30536361152286
249,2014,09,26,269,279.19889173861657
250,2014,01,14,14,292.94616551545295
251,2014,05,15,135,317.65643346804086
252,2014,08,29,241,290.04154083100207
253,2014,04,30,120,317.8035575534707
254,2014,06,13,164,307.3711107754929
255,2014,05,18,138,315.5601989947811
256,2014,04,02,92,321.9757127867269
257,2014,05,02,122,317.565448234314
258,2014,10,03,276,276.40519255025424
259,2014,08,07,219,295.9331446823961
260,2014,09,11,254,271.15052774358645
261,2014,05,04,124,319.1859541842
262,2014,08,27,239,290.96839816203834
263,2014,02,12,43,299.3956775979071
264,2014,10,18,291,284.04946962710096
265,2014,03,05,64,304.02009121010053
266,2014,04,24,114,320.3194574002861
267,2014,01,12,12,292.97651887163556
268,2014,04,01,91,322.463228758618
269,2014,07,20,201,298.0224189308633
270,2014,04,03,93,358.020416577528
271,2014,10,19,292,283.80747158895247
272,2014,04,29,119,321.63073534064495
273,2014,12,10,344,291.0235924553376
274,2014,05,26,146,311.0786950556074
275,2014,11,13,317,252.05160205427944
276,2014,02,02,33,297.0234564080914
277,2014,03,14,73,307.6850394326792
278,2014,01,19,19,291.41387647176896
279,2014,12,04,338,292.4015172061669
280,2014,06,14,165,306.43901519079606
281,2014,04,14,104,321.6503411496681
282,2014,11,22,326,295.2999789387252
283,2014,03,24,83,309.5209369239318
284,2014,11,12,316,288.43922911766737
285,2014,01,01,1,291.18411770137027
286,2014,03,27,86,313.6130231966642
287,2014,06,05,156,308.595979914366
288,2014,05,14,134,317.49917547878226
289,2014,12,24,358,294.507986801689
290,2014,07,06,187,301.3259021248615
291,2014,12,01,335,294.7015982060631
292,2014,05,16,136,317.09925861510726
293,2014,02,05,36,297.7611520290961
294,2014,12,23,357,294.62900369158746
295,2014,12,06,340,291.68897852771545
296,2014,03,25,84,309.1255118021773
297,2014,09,06,249,286.35983959004074
298,2014,06,16,167,305.9776211529141
299,2014,08,02,214,296.95691374926815
300,2014,08,09,221,300.3394840811103
301,2014,09,15,258,284.7809502852444
302,2014,11,25,329,299.0037839933773
303,2014,08,17,229,292.0140237838926
304,2014,04,21,111,323.13605007750556
305,2014,08,25,237,291.43143054584715
306,2014,07,04,185,302.00406367374546
307,2014,06,26,177,302.3391690172071
308,2014,09,01,244,288.6784369773314
309,2014,08,20,232,292.46983895232813
310,2014,11,18,322,292.59795328169616
311,2014,04,10,100,318.8880289409759
312,2014,12,14,348,298.4370921031487
313,2014,01,27,27,294.7600313275956
314,2014,02,21,52,299.5572455887055
315,2014,09,12,255,285.0843463331061
316,2014,10,21,294,283.8688780641067
317,2014,01,07,7,292.1372086675789
318,2014,10,01,274,275.0378366287146
319,2014,06,18,169,304.74704893385433
320,2014,08,11,223,294.47223713969464
321,2014,11,30,334,297.2061123550893
322,2014,03,18,77,311.07002421875967
323,2014,02,26,57,301.5471020501165
324,2014,05,06,126,338.426358411859
325,2014,02,13,44,299.93676236038914
326,2014,06,12,163,307.18886921291937
327,2014,10,20,293,283.5875858785017
328,2014,01,31,31,295.2748114014191
329,2014,09,30,273,276.2742241868119
330,2014,08,24,236,291.10106756987017
331,2014,05,19,139,315.40031808080585
332,2014,06,23,174,302.72537594215567
333,2014,11,27,331,299.6661670493959
334,2014,10,16,289,282.6076503870716
335,2014,11,10,314,287.112585779123
336,2014,01,11,11,292.66581755299677
337,2014,10,30,303,285.5944326147671
338,2014,09,27,270,279.6445480088802
339,2014,01,08,8,292.1693926856952
340,2014,01,04,4,291.2053247432839
341,2014,03,10,69,304.6616282397829
342,2014,11,01,305,287.17671635522134
343,2014,07,10,191,300.5499650948161
344,2014,05,31,151,309.9595510366603
345,2014,04,26,116,319.33002545351235
346,2014,07,13,194,299.548433703571
347,2014,10,27,300,284.58184503974775
348,2014,04,28,118,318.23112863697963
349,2014,06,30,181,301.5114357029436
350,2014,03,15,74,307.41457170452674
351,2014,10,14,287,284.8392896546096
352,2014,03,30,89,320.91337879535905
353,2014,08,23,235,291.6850496560752
354,2014,12,09,343,289.67718343099733
355,2014,08,03,215,297.284400344052
356,2014,09,22,265,279.0564128477953
357,2014,08,18,230,291.86615512632375
358,2014,02,28,59,302.7212703822596
359,2014,07,07,188,301.45756209343557
360,2014,08,14,226,292.81143380887096
361,2014,12,15,349,302.37818776056696
362,2014,09,09,252,284.22170933795616
363,2014,10,02,275,274.70423785588366
364,2014,03,03,62,288.5422397684818
